0.0,0.4,0.0,0.8,0.0,0.4,0.8,0.0,0.0,0.4,0.2,0.8,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.2,1.2,0.8,0.8,0.0,0.2,0.0,0.2,0.2,0.0,0.6,0.6,0.8,0.2,1.0,0.2,0.0,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.6,0.0,1.0,0.2,0.0,0.6,1.8,0.4,2.8,0.0,1.0,0.6,0.2,0.2,0.4,0.0,0.2,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.4
1.2,0.2,0.6,0.0,1.4,1.0,2.4,0.2,0.4,2.6,0.6,1.0,0.0,1.8,0.0,1.6,1.2,3.8,2.4,0.2,0.4,1.2,0.2,0.0,0.0,0.0,0.6,0.4,0.4,0.4,0.0,0.0,0.4,0.2,0.0
0.6,0.2,0.0,1.2,0.0,0.0,0.8,0.6,0.4,0.6,0.4,0.2,0.4,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.2,0.8,0.2,0.0,0.2,0.4,0.0,2.0,0.4,0.8,0.0,0.2,0.2,0.4,0.0,3.2,1.0,0.4,0.0,2.2,0.4,0.0,0.4,0.2,0.2,1.8,1.2,0.2,0.0,0.0,0.6,0.0,0.0
0.2,0.2,0.6,3.0,0.2,0.2,0.0,0.4,0.2,1.6,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.4,0.0,0.4,0.2,0.4,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0
0.4,0.4,1.2,2.0,0.2,0.4,0.8,0.0,0.0,3.0,0.8,0.6,0.6,0.6,0.2,0.6,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.0,0.4,0.2,0.6,0.6,0.2,0.8,0.4,0.0,0.4,0.2,1.2
0.0,0.0,0.4,0.6,0.0,0.0,0.4,0.0,0.0,2.6,0.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2
1.2,0.8,1.8,7.4,1.2,2.8,6.4,3.0,2.0,0.0,0.6,1.4,0.6,2.4,0.6,2.6,0.4,2.6,0.6,0.6,0.0,7.8,2.0,0.2,1.8,0.4,1.4,1.0,1.4,0.8,1.2,0.4,0.6,0.0,1.6
